sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Tax_Rate,Tax_At_Cap,Dead_Firms,TopK_Share,scenario,spread,c0,eta,benefit_replacement_rate
1.0,0.4,11,132.36775885391557,422.5774409915503,21.094991232372337,111.27276762154325,74.09803921568627,0.2590196078431372,0.5037628944648721,0.6666666666666666,0.4962371055351279,0.5178735038032749,0.9048499624887958,0.18126405058630887,0.18126405058630887,161.67181178683498,161.67181178683498,0.5708930354372673,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3312299036579787,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,12,131.4234854804571,415.9975240267947,20.7686543695532,110.6548311109039,73.90196078431373,0.2609803921568628,0.5059573910972226,0.6666666666666666,0.49404260890277746,0.5178616587256276,0.9045548058807857,0.18283389473453443,0.18283389473453443,160.82729823825142,160.82729823825142,0.5755531669725821,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3291107566682774,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,13,132.15563125571313,418.5177428666852,20.93241415557144,111.22321710014168,74.27450980392157,0.2572549019607843,0.5058166396602395,0.6666666666666666,0.4941833603397604,0.5171831518356871,0.9094962606168957,0.17993615273383728,0.17993615273383728,161.15281531313602,161.15281531313602,0.5755388466703192,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.36372613846229485,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,14,131.16475188545206,414.2256471462522,20.69825507747926,110.46649680797279,73.82352941176471,0.26176470588235295,0.5065444361664174,0.6666666666666666,0.4934555638335826,0.5189066490061006,0.907163385304353,0.18328302067925883,0.18328302067925883,160.60003575070792,160.60003575070792,0.5771396766372517,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3395569765343711,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,15,132.30845343885252,422.24407451758515,21.048384630059502,111.26006880879301,74.09803921568627,0.2590196078431372,0.5038578480622876,0.6666666666666666,0.49614215193771233,0.5183145141447131,0.906851518175268,0.18143085836180248,0.18143085836180248,161.62735969204533,161.62735969204533,0.5709813890505474,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.34326749986316846,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,16,131.65517014241976,410.5451984279939,20.579878088998335,111.07529205342144,74.58823529411765,0.2541176470588235,0.5098669266849839,0.6666666666666666,0.490133073315016,0.5138030131723759,0.9120034469926521,0.17778453329663652,0.17778453329663652,160.12257891202967,160.12257891202967,0.584932316731312,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3630995909440075,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,17,133.8739561223781,426.6929935600619,21.34379859124494,112.53015753113318,75.01960784313725,0.2498039215686274,0.5042972786764656,0.6666666666666666,0.4957027213235345,0.5154773058756352,0.9177055123481026,0.1746149068598089,0.1746149068598089,162.19508483951117,162.19508483951117,0.571797182547796,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.389481310364836,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,18,131.46385243074306,418.29446012580905,20.827499567529824,110.63635286321326,73.74509803921569,0.26254901960784316,0.5047300160681424,0.6666666666666666,0.49526998393185767,0.5218824874150353,0.9128574400499442,0.18406768299963563,0.18406768299963563,161.1225090688646,161.1225090688646,0.5736960485646483,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3752329415333311,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,19,131.73308825554406,417.46606685091547,20.87330334478307,110.859784910761,74.0,0.26,0.5055677421818667,0.6666666666666666,0.4944322578181331,0.5182118932187897,0.9070563158965492,0.1818722070854438,0.1818722070854438,161.01774001131145,161.01774001131145,0.5750971693534589,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.33783783783783805,S1_anchor,0.0,2.0,0.0,0.0
1.0,0.4,0,132.74474775913546,418.6183404712964,20.878496930205426,111.86625082893003,75.11764705882354,0.24882352941176472,0.5092705633632433,0.6666666666666666,0.4907294366367567,0.5099014101889786,0.9090002588627035,0.17634830589104133,0.17634830589104133,161.16512426821782,161.16512426821782,0.5822354986967205,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.36656212847353553,S1_anchor,0.05,2.0,0.0,0.0
