c0,eta,rr,sigma,rho,Y,U,Wage_Rate,collapsed,binding,frac_seeds_collapsed,mixed_basin
2.0,0.1,0.5,0.3,0.45,152.97962012647443,0.1858169934640523,0.9703210079102421,False,demand,0.0,False
2.0,0.1,0.5,0.3,0.5,167.70958022644052,0.09588235294117649,1.0757753389337654,False,demand,0.0,False
2.0,0.1,0.5,0.3,0.55,181.1647332874363,0.00875816993464053,1.2152070691611818,False,profitmax,0.0,False
2.0,0.1,0.5,0.3,0.6,184.45147737065668,0.0,1.246860091631139,False,profitmax,0.0,False
2.0,0.1,0.5,0.3,0.65,192.43613423811618,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.5,0.4,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.4,0.4,151.02969730928007,0.1735947712418301,0.9573684432155405,False,demand,0.0,False
2.0,0.1,0.5,0.4,0.45,156.5333368440108,0.14372549019607841,1.0287316116802896,False,demand,0.0,False
2.0,0.1,0.5,0.4,0.5,179.1833029642689,0.020130718954248384,1.1670939671933906,False,profitmax,0.0,False
2.0,0.1,0.5,0.4,0.55,181.69312159814694,0.00980392156862746,1.213024102094288,False,profitmax,0.0,False
2.0,0.1,0.5,0.4,0.6,188.5338653902512,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.5,0.4,0.65,196.5215559097844,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.5,0.5,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.5,0.4,142.961681004888,0.14098039215686275,1.0098440951254646,False,profitmax,0.0,False
2.0,0.1,0.5,0.5,0.45,146.2898982414587,0.1433986928104575,1.05307450307678,False,profitmax,0.0,False
2.0,0.1,0.5,0.5,0.5,180.13451585764096,0.01973856209150329,1.1646154351987503,False,profitmax,0.0,False
2.0,0.1,0.5,0.5,0.55,182.5009192362658,0.009934640522875826,1.2157528109279052,False,profitmax,0.0,False
2.0,0.1,0.5,0.5,0.6,191.92512702433655,0.0,1.246860091631139,False,workforce,0.0,False
2.0,0.1,0.5,0.5,0.65,201.41810292933437,0.0,1.246860091631139,False,demand,0.0,False
2.0,0.1,0.5,0.6,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.6,0.4,133.17563487168897,0.1726797385620915,0.9880313844958207,False,profitmax,0.0,False
2.0,0.1,0.5,0.6,0.45,133.98524288150816,0.22601307189542486,0.9772111238419364,False,profitmax,0.0,False
2.0,0.1,0.5,0.6,0.5,179.9516572724988,0.021307189542483677,1.1640234494274062,False,profitmax,0.0,False
2.0,0.1,0.5,0.6,0.55,183.60315887558838,0.010065359477124192,1.214115585627735,False,profitmax,0.0,False
2.0,0.1,0.5,0.6,0.6,190.308968835787,0.003333333333333336,1.2468600916311388,False,workforce,0.0,False
2.0,0.1,0.5,0.6,0.65,206.29886633916863,0.0,1.246860091631139,False,demand,0.0,False
2.0,0.1,0.5,0.7,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.7,0.4,130.2703518232179,0.24098039215686273,0.9214593891954242,False,demand,0.0,False
2.0,0.1,0.5,0.7,0.45,135.99608996341496,0.2550326797385621,0.9358309600135083,False,demand,0.0,False
2.0,0.1,0.5,0.7,0.5,138.4582868722279,0.31732026143790854,0.8835212614323096,False,demand,0.0,False
2.0,0.1,0.5,0.7,0.55,151.26919955104123,0.24098039215686276,0.9886009952719611,False,demand,0.0,False
2.0,0.1,0.5,0.7,0.6,199.2473478953228,0.0,1.246860091631139,False,demand,0.0,False
2.0,0.1,0.5,0.7,0.65,175.03409450518248,0.20529411764705885,1.0057857246187214,False,demand,0.0,False
2.0,0.1,0.5,0.8,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.8,0.4,118.92911681490631,0.27967320261437906,0.9044069949697588,False,demand,0.0,False
2.0,0.1,0.5,0.8,0.45,127.54932723439144,0.3254248366013072,0.8809602798710926,False,demand,0.0,False
2.0,0.1,0.5,0.8,0.5,113.8609521581047,0.3620915032679739,0.910855429550058,False,demand,0.0,False
2.0,0.1,0.5,0.8,0.55,107.02844667658844,0.2833333333333334,1.0161722798955493,False,profitmax,0.0,False
2.0,0.1,0.5,0.8,0.6,178.40498757209647,0.13999999999999999,1.1172581689014784,False,demand,0.0,False
2.0,0.1,0.5,0.8,0.65,154.2831504426628,0.3273856209150327,0.879808366182928,False,demand,0.0,False
2.0,0.1,0.5,0.9,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,0.9,0.4,113.99397308160331,0.2909803921568627,0.8908023112078837,False,demand,0.0,False
2.0,0.1,0.5,0.9,0.45,112.13299233406788,0.3355555555555556,0.9046754234072218,False,demand,0.0,False
2.0,0.1,0.5,0.9,0.5,106.5371875664614,0.3277777777777778,0.9488652330404602,False,profitmax,0.0,False
2.0,0.1,0.5,0.9,0.55,102.88423840995813,0.40405228758169925,0.902490474289725,False,demand,0.0,False
2.0,0.1,0.5,0.9,0.6,121.7808574860282,0.4217647058823529,0.8588225255324594,False,demand,0.0,False
2.0,0.1,0.5,0.9,0.65,151.81718088023646,0.3464705882352941,0.8748261535647238,False,demand,0.0,False
2.0,0.1,0.5,1.0,0.35,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.0,0.4,0.0,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.0,0.45,103.51674291038402,0.3426797385620916,0.8918344201039788,False,demand,0.0,False
2.0,0.1,0.5,1.0,0.5,108.45846145455532,0.3570588235294118,0.8991273221689671,False,demand,0.0,False
2.0,0.1,0.5,1.0,0.55,96.56620192846742,0.363921568627451,0.9372300819873108,False,profitmax,0.0,False
2.0,0.1,0.5,1.0,0.6,115.49819595177057,0.3764705882352941,0.9013078443198647,False,demand,0.0,False
2.0,0.1,0.5,1.0,0.65,150.46153150092815,0.3560784313725491,0.8723678822356282,False,demand,0.0,False
2.0,0.1,0.5,1.25,0.35,1.5336689610481078e-43,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.25,0.4,4.956263201508064e-43,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.25,0.45,1.1312924892799223e-41,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.25,0.5,57.039858363326914,0.5486274509803922,0.8784293545336372,False,profitmax,0.3333333333333333,True
2.0,0.1,0.5,1.25,0.55,82.56784208748711,0.39052287581699346,0.9088707446574897,False,profitmax,0.0,False
2.0,0.1,0.5,1.25,0.6,76.5802857867128,0.37764705882352945,0.9526960338344658,False,profitmax,0.0,False
2.0,0.1,0.5,1.25,0.65,128.1344445800301,0.42111111111111105,0.8590847465482555,False,demand,0.0,False
