sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0
0.3,0.4,0,66.50711687560575,219.4935950885664,11.395620836323403,55.111496039282336,36.88235294117647,0.6311764705882352,0.49868234278918583,0.5488409715364094,0.5013176572108142,0.7432462118215017,0.9108788640539017,0.34588520307093334,0.15411496735838476,101.60697250599975,78.57537376985236,0.847830250456648,0.0,0.9,0.8666666666666666,0.11568627450980391,0.01764705882352941,0.0,0.5
0.3,0.4,1,67.08076249276522,236.23920577422544,11.832972255624293,55.24779023714091,36.19607843137255,0.6380392156862745,0.48542674227728727,0.5488409715364094,0.5145732577227128,0.7495659913560326,0.9079590475973595,0.3779574862709889,0.2075741067469705,107.83968541910396,84.65971579273732,0.7925234135528499,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.4,2,64.62790818295697,224.7449985860335,11.204559072775258,53.4233491101817,34.98039215686274,0.6501960784313725,0.4868733586887789,0.5488409715364094,0.5131266413112211,0.7580722972811662,0.9105600133884074,0.3762166747313581,0.19760497645603325,103.6090342422583,80.55153982569648,0.8027634213542172,0.0,0.9,0.9,0.09999999999999998,0.0,0.0,0.5
0.3,0.4,3,69.38033261901182,250.0219223257943,12.528490825476814,56.85184179353501,37.05882352941177,0.6294117647058822,0.4807083285313148,0.5488409715364094,0.5192916714686853,0.7436871076285378,0.9046573553930933,0.3845928454546583,0.22564564714719978,112.73894521298993,89.59803156785114,0.7746044262739855,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.4,4,67.93440024336327,238.16591140206805,12.021213698815544,55.91318654454773,36.8235294117647,0.6317647058823529,0.487305196213797,0.5488409715364094,0.512694803786203,0.7444246095846878,0.9066022117781453,0.3739039546141597,0.20355064103738324,108.5131068917166,85.33092956751634,0.7970616705217184,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.4,5,66.28618601086427,232.72166476021084,11.689526797423536,54.596659213440745,35.76470588235294,0.6423529411764705,0.48548055433934506,0.5488409715364094,0.5145194456606551,0.7509375320426076,0.9052483255083397,0.37797865352553134,0.20512368421832564,106.56322935336833,83.39244197518445,0.7946207941239732,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.4,6,67.09002947026404,238.2192639532577,11.938305719750092,55.15172375051396,36.01960784313726,0.6398039215686273,0.48317040192035987,0.5488409715364094,0.5168295980796401,0.7513508728255746,0.9089161723757426,0.38200079408519655,0.2140913529169185,108.56112675130899,85.36814719498399,0.786735902795557,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.4,7,69.28442053071015,246.79188856163083,12.337423349005096,56.94699718170505,37.254901960784316,0.6274509803921567,0.4836319315491559,0.5488409715364094,0.516368068450844,0.7441990648034222,0.9090945466638145,0.3791662582411137,0.21654677730077082,111.59667913426688,88.44627001339207,0.7830583572020926,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.4,8,69.06616620044537,242.33263880343236,12.314181267340182,56.751984933105184,37.254901960784316,0.6274509803921569,0.48542707980308974,0.5488409715364094,0.5145729201969103,0.7421543123600653,0.9056429327702028,0.37222676132649796,0.20424061993370046,110.0252571810775,86.80703395883114,0.7952720057378914,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.4,9,67.6514554134211,237.72933728362776,11.960357986304906,55.6910974271162,36.549019607843135,0.6345098039215686,0.48576410272359793,0.5488409715364094,0.5142358972764021,0.7471196392279805,0.9077059369747523,0.37581724667431743,0.20581243681001843,108.36423560202437,85.18261935313483,0.7939659656013764,0.0,0.9,0.9725490196078431,0.027450980392156866,0.0,0.0,0.5
0.3,0.4,10,68.56245253206879,239.9970116647816,12.190251390505532,56.37220114156326,36.98039215686274,0.6301960784313726,0.4854012284445538,0.5488409715364094,0.5145987715554463,0.7440067655234364,0.9073814450179468,0.3720857298101695,0.20243739037491754,109.19111271598806,85.97147582953326,0.7979396594887289,0.0,0.9,0.9117647058823528,0.08823529411764704,0.0,0.0,0.5
0.3,0.4,11,72.99302647571878,262.4665070700073,13.455199422153001,59.5378270535658,38.96078431372549,0.6103921568627451,0.4803989000614481,0.5488409715364094,0.5196010999385519,0.7321334744163646,0.9055022566669707,0.3758840308125633,0.22322251576003987,116.96885882883763,93.9948591172834,0.7769098750722394,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.4,12,71.65728888254252,262.2361718126212,13.111808590631085,58.545480291911446,38.0,0.6200000000000001,0.47727175467186794,0.5488409715364094,0.522728245328132,0.7381857546077862,0.9038561720463943,0.3870545503716614,0.23753514722187793,116.90647010430071,93.98110433740196,0.7624648527781223,0.0,0.9,1.0,0.0,0.0,0.0,0.5
