sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0,anchor
0.05,0.5,4,75.8177594799774,354.68486714949205,17.73908934903423,58.07867013094316,36.705882352941174,0.6329411764705882,0.4357177263769399,0.4533160371119064,0.5642822736230602,0.7507832832810872,0.905414969065477,0.1717971478164987,0.1450394134085618,91.54593470601685,88.68124266388081,0.8550730285338253,0.0,0.9,0.4941176470588236,0.09999999999999998,0.40588235294117636,0.0,1.0,rho050
0.05,0.5,5,74.37210451726257,343.66954889186303,17.183477444593123,57.18862707266947,36.0,0.64,0.4356472122216147,0.4533160371119064,0.5643527877783856,0.7555876769748676,0.9049479225820535,0.16155879724506872,0.13448228582399568,88.70282647476338,85.92788258304662,0.8655177141760046,0.0,0.9,0.30000000000000004,0.0,0.7000000000000002,0.0,1.0,rho050
0.05,0.5,6,78.56782190288266,373.8840945006151,18.694204725030776,59.87361717785188,38.0,0.6200000000000001,0.43529270853752916,0.4533160371119064,0.564707291462471,0.7418685724109967,0.9044781678041343,0.18583706543589742,0.15954461110149498,96.50134950560891,93.48244171038402,0.8404553888985052,0.0,0.9,0.7000000000000002,0.09999999999999998,0.19999999999999996,0.0,1.0,rho050
0.05,0.5,7,86.8650110203987,420.80724944638337,21.04036247231917,65.82464854807951,42.0,0.58,0.43515794859133056,0.4533160371119064,0.5648420514086694,0.7202937828583132,0.9088678449183004,0.2002295253394103,0.174402044524516,108.61242540525495,105.21466343793304,0.8255979554754842,0.0,0.9,0.9,0.09999999999999998,0.0,0.0,1.0,rho050
0.05,0.5,8,75.37666631843634,352.8090821288019,17.63855502304761,57.73811129538871,36.509803921568626,0.6349019607843138,0.4359223268460681,0.4533160371119064,0.564077673153932,0.7518834770134409,0.9058102538797478,0.17224824181587917,0.14551140896150844,91.06178531885769,88.21299345116809,0.8546094557167981,0.0,0.9,0.39607843137254894,0.26470588235294124,0.3392156862745098,0.0,1.0,rho050
0.05,0.5,9,76.4644685016254,357.0747802511958,17.85373901255985,58.610729489065555,37.0,0.6299999999999999,0.43549639005588786,0.4533160371119064,0.5645036099441123,0.7495159225214597,0.9068203592984116,0.1703324711229249,0.14353930049825664,92.16278309109828,89.27959980663391,0.8564606995017436,0.0,0.9,0.5,0.0,0.5,0.0,1.0,rho050
0.05,0.5,10,74.369349671839,343.3110647964423,17.165553239822117,57.203796432016915,36.0,0.64,0.43566334979353344,0.4533160371119064,0.5643366502064666,0.756350413627431,0.9069448603202879,0.1607143896987158,0.1336106089986538,88.61029994919387,85.83825061140837,0.8663893910013462,0.0,0.9,0.19999999999999996,0.19999999999999996,0.6000000000000001,0.0,1.0,rho050
0.05,0.5,11,80.64391690607395,385.85033660133394,19.292516830066752,61.351400076007195,39.0,0.6099999999999999,0.43524671601555526,0.4533160371119064,0.5647532839844448,0.7350743449466044,0.9021769167457325,0.1902399572432671,0.16408970744763018,99.58989410187642,96.47436767387524,0.8359102925523699,0.0,0.9,0.7999999999999998,0.09999999999999998,0.09999999999999998,0.0,1.0,rho050
0.05,0.5,12,80.63181087401607,382.89280924204655,19.144640462102412,61.48717041191367,39.0,0.6099999999999999,0.4353120638062108,0.4533160371119064,0.5646879361937893,0.7354436143013957,0.9016071158178702,0.18410773995258567,0.15775945185652743,98.82654220709273,95.7348955138179,0.8422405481434726,0.0,0.9,0.7000000000000002,0.09999999999999998,0.19999999999999996,0.0,1.0,rho050
0.05,0.5,13,74.40718712467006,349.00480397939845,17.450240198969947,56.95694692570012,36.0,0.64,0.43544180679365607,0.4533160371119064,0.564558193206344,0.7549731425866133,0.9060103852021607,0.17398663013717952,0.1473114630943251,90.07988228692618,87.26185928884024,0.8526885369056751,0.0,0.9,0.6000000000000001,0.0,0.3999999999999999,0.0,1.0,rho050
