sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Price,c0,eta,enable_prices,prices
0.05,0.55,4,100.14180056762673,452.7586905810652,22.637934529053226,77.50386603857349,55.0,0.45,0.49429908109723053,0.5120135414510577,0.5057009189027694,0.615025695044063,0.904861386396673,0.3358458500462993,0.3113085327125158,150.78096037585215,145.40880107321553,0.6886914672874842,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,5,111.06744706267405,518.4638672381212,25.92319336190607,85.14425370076799,61.0,0.39000000000000007,0.49429424599109195,0.5120135414510577,0.5057057540089079,0.5733126424972869,0.904987458242854,0.3468337771934015,0.33297149098745754,170.04468875537822,166.51079460920857,0.6670285090125422,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,6,100.1417915952464,452.65953189046996,22.632976594523548,77.50881500072289,55.0,0.45,0.4942991253848277,0.5120135414510577,0.5057008746151723,0.6154385344220934,0.9064394423521175,0.33570445403207616,0.31115773105684813,150.74885298129317,145.3769550885543,0.6888422689431518,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,7,109.24654285064014,507.44098602860277,25.37204930143018,83.87449354920996,60.0,0.3999999999999999,0.49429481785824386,0.5120135414510577,0.5057051821417562,0.5805837220413494,0.9062629734062355,0.3468903736217667,0.3296551738161107,167.2713713568394,162.97066611605592,0.6703448261838896,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,8,103.78374151840539,474.41778154238557,23.720889077119335,80.06285244128604,57.0,0.43000000000000005,0.49429707629978126,0.5120135414510577,0.5057029237002187,0.6013071504857331,0.9054710603535415,0.3417682969122118,0.3188473246803436,157.6705300451986,152.36487395384736,0.6811526753196568,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,9,105.60467852297002,485.20324968744563,24.26016248437233,81.34451603859767,58.0,0.4200000000000001,0.49429628241940077,0.5120135414510577,0.5057037175805993,0.5953125334953456,0.9086156135917921,0.3439347801465687,0.3223030056015261,160.96673825593544,155.82875443723202,0.6776969943984744,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,10,105.60462591275446,484.4123397810989,24.220616989054946,81.38400892369951,58.0,0.4200000000000001,0.49429652866840473,0.5120135414510577,0.5057034713315952,0.5954649059288144,0.9086093835563273,0.34296558751975126,0.32119685406451903,160.72921586269132,155.57474437926663,0.6788031459354811,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,11,98.3206058811053,440.17005233687615,22.008502616843906,76.31210326426137,54.0,0.46,0.4943012663975019,0.5120135414510577,0.5056987336024981,0.6220687744195944,0.903780517876331,0.32968410773799967,0.3044951602084171,146.67801706046316,141.3658112150137,0.6955048397915827,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.6,0,112.88909555769835,557.6492075128494,27.88246037564253,85.00663518205583,62.0,0.3799999999999999,0.49429043367151665,0.5120135414510577,0.5057095663284834,0.5605460912614626,0.9047939494017174,0.36308073681995195,0.36308073681995195,177.24239489014516,177.24239489014516,0.6303285897986592,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.6,1,120.17236623987739,601.2404983979467,30.062024919897397,90.11034131998,66.0,0.3399999999999999,0.49429000908104775,0.5120135414510577,0.5057099909189522,0.5334344602935481,0.9070005710805225,0.3348307422953604,0.3348307422953604,180.6643419669862,180.6643419669862,0.6223468391880461,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
