point,beta,lambda_u,rho,seed,Output,Unemployment_Rate,Total_Capital,Investment,Average_Utilization,Util_Effect_mean,Util_Effect_sd,Util_Effect_min,Util_Effect_max,Expected_Utilization_mean
1,0.05,0.75,0.45,14,75.99830620402184,0.64,382.7337784341777,17.904261983211796,0.47077794688185914,0.9784544441501181,0.0009439025223728934,0.9765660376530342,0.9797627563424548,0.47035568091198443
1,0.05,0.75,0.45,15,88.94636636252281,0.5778431372549019,444.81269230321897,22.224871427229715,0.47856872244518395,0.9789275075043673,0.00017532130787457968,0.9787819012587026,0.9792917483869321,0.47856407935572437
1,0.05,0.75,0.45,16,89.7558412883048,0.5731372549019609,445.5786129870668,22.18225911519122,0.48152814661910986,0.9790733712729245,0.00023655984414425041,0.9786387648500888,0.9793220243107081,0.4815129663289543
1,0.05,0.75,0.45,17,86.31326891847914,0.584313725490196,411.42484061205266,20.678141129121133,0.5035996129892963,0.9801352993756226,0.0009564169572190312,0.9791460669234426,0.9824053072840085,0.5033762066200848
1,0.05,0.75,0.45,18,86.59005173142482,0.5849019607843138,417.9505326344647,20.952261849505444,0.49582582351831683,0.979810670868701,0.00029074242748351904,0.9794155846502612,0.980171102640133,0.49592272198224163
1,0.05,0.75,0.45,19,84.68002889513944,0.5945098039215687,411.716378382729,20.606447519651912,0.49171067011826286,0.9796450329753013,0.0009161716444747058,0.9781714967785685,0.980974754181168,0.49200816746520315
1,0.05,0.75,0.55,0,93.70765287216429,0.5768627450980391,578.9874095670273,28.629419605641996,0.3875896412585281,0.9743676442142203,0.0002958640794482113,0.9739939638550353,0.9751307234475343,0.38753045201499814
1,0.05,0.75,0.55,1,95.08401419891912,0.5700000000000002,582.3161331479934,29.115806657399617,0.39112482036331503,0.9745562410181656,1.1212702919885052e-16,0.9745562410181657,0.9745562410181657,0.39112482036331503
1,0.05,0.75,0.55,2,99.87305368141102,0.55,622.6154527575422,31.130772637877214,0.38510215828216315,0.9742551079141083,1.1212702919885052e-16,0.9742551079141082,0.9742551079141082,0.38510215828216315
1,0.05,0.75,0.55,3,98.54829398702988,0.554705882352941,607.4650289233159,30.54491853805842,0.38955813995218463,0.97448475180113,0.000282490343067958,0.9740558728444894,0.9750284138716051,0.38959236396978864
1,0.05,0.75,0.55,4,92.5088075605531,0.5803921568627451,560.7041703910938,28.12223568020018,0.394979863763208,0.9747528389949967,0.0005547218788448089,0.9741288150437301,0.9757560275499155,0.3949990927973887
1,0.05,0.75,0.55,5,97.62506433874604,0.5599999999999999,607.7318431220364,30.3865921561019,0.3852135638715723,0.9742606781935788,2.2425405839770103e-16,0.9742606781935785,0.9742606781935785,0.3852135638715723
1,0.05,0.75,0.55,6,89.18819537404963,0.5947058823529412,535.1843936851823,26.681418182235625,0.39811838576416037,0.9748808980523455,0.0002899075854897145,0.9745931479930521,0.9755693472093767,0.3979932795848475
1,0.05,0.75,0.55,7,97.6876051121853,0.5576470588235294,595.2952567075748,29.752523104567878,0.3936012923354781,0.9746794595639701,0.0002027935090095818,0.9744793751485089,0.9750890628129969,0.3935982670714587
1,0.05,0.75,0.55,8,98.66505340079739,0.5547058823529413,611.0983973283184,30.56420207639604,0.3874912505846942,0.9743750203576339,0.00023301566008082205,0.9740710814081055,0.9746478824108962,0.38749353972668965
1,0.05,0.75,0.55,9,95.01699964971932,0.57,581.3951263493303,29.183760558351494,0.3915098192781814,0.974576696601025,0.00027458737638544773,0.9741642884107582,0.9750368762949615,0.3915158474637613
1,0.05,0.75,0.55,10,97.67505171147394,0.559607843137255,607.0259767083543,30.276236429821417,0.3857905920626176,0.9742839658805167,8.041634817291161e-05,0.9741788582958615,0.9746128405091141,0.3857627734495462
1,0.05,0.75,0.55,11,94.95635862996609,0.5700000000000002,577.8235577871868,28.891177889359433,0.39363662445293507,0.9746818312226467,1.1212702919885052e-16,0.9746818312226468,0.9746818312226468,0.39363662445293507
