point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
57,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.534130236992789e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,5.283234758258296e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
58,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.534130236992789e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,5.283234758258296e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
59,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.534607865442721e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,5.284107865704304e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
60,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.4980826608518867e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,5.149813866304353e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
61,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.2045852235916023e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,3.7775245536290996e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
62,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.275490489451101e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,4.030734417211608e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
63,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.275853113270148e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,4.032751124498265e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
64,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.093495957733742e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,3.4266115816312273e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
65,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.093495957733742e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0,0.0,3.4266115816312273e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8045539822642084,0.0
66,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.270686676032882e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0,0.0,4.057339410724154e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0
67,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.270686676032882e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0,0.0,4.057339410724154e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0
68,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.1189693252552286e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0,0.0,3.5006245167818423e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0
69,0.0,1.0,609.1230193709223,25.951727460715283,,,5,,0.0,0.0,4.589063082157782e-41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0,121.8246038741845,347.8786278244878,17.136554648715588,0.2109803921568627,0.6099032915803402,0.3900967084196597,0.9642939231194759,47.51408308343292,0.04117953099330216,104.68804922546892,78.90196078431373,0.9466179998346135,0.0
70,0.0,1.0,609.1230193709223,25.951727460715283,,,5,,0.0,0.0,4.589063082157782e-41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7355383687469126,0.0,121.8246038741845,347.8786278244878,17.136554648715588,0.2109803921568627,0.6099032915803402,0.3900967084196597,0.9642939231194759,47.51408308343292,0.04117953099330216,104.68804922546892,78.90196078431373,0.9466179998346135,0.0
71,0.0,0.2,636.140767590847,275.52275371929863,,,5,,0.0,98.94862813479203,255.12670221997973,12.740921497989083,0.41945098039215684,0.41970532751019896,0.3802946724898009,0.7666042712315624,46.339406486593376,0.0367514166949287,86.20770663680295,58.054901960784306,0.8631844505452315,0.0,226.17678165296147,1053.6574230555632,52.68287115277832,0.0,0.5377135988054522,0.46228640119454767,0.6525778305004568,76.20012245019056,0.0,173.49391050018315,100.0,1.2161723506249074,0.0
72,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.6048121557182807e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,0.0,6.236911633099111e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0
73,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.6048121557182807e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,0.0,6.236911633099111e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0
74,1.0,0.0,123.88238712012674,23.177896366694743,123.88238712012674,23.177896366694743,5,0.0,0.0,133.19014666713616,462.02472548887283,23.09265402685927,0.2825490196078431,0.48285885095026704,0.5171411490497331,0.7121493593363434,49.677074873637906,0.09216235385539488,110.09749264027684,71.74509803921569,0.896489200389181,0.0,157.96662409116146,993.4928826321791,49.692166180931316,0.2969411764705882,0.3980140482350937,0.6019859517649063,0.39223901944924366,49.014677559652526,0.09834397034320992,108.27445791023017,70.30588235294118,0.8942198000866781,0.0
75,0.0,0.2,263.4078314559,300.22566202656026,,,5,,0.0,106.80680537956925,368.9028490985733,18.467503412875026,0.4227843137254902,0.38780652950134215,0.4121934704986579,0.6145305947644498,39.782190379923875,0.0724572750937007,88.33930196669422,57.721568627450985,0.8859175952564204,0.0,159.48837167074925,962.8933192347516,48.04774534649415,0.252235294117647,0.42266163292000264,0.5773383670799974,0.44050188422466663,48.70835847516671,0.08164418965560136,111.44062632425512,74.7764705882353,0.9014853543216871,0.0
76,0.0,0.2,263.4078314559,300.22566202656026,,,5,,0.0,106.80680537956925,368.9028490985733,18.467503412875026,0.4227843137254902,0.38780652950134215,0.4121934704986579,0.6145305947644498,39.782190379923875,0.0724572750937007,88.33930196669422,57.721568627450985,0.8859175952564204,0.0,159.48837167074925,962.8933192347516,48.04774534649415,0.252235294117647,0.42266163292000264,0.5773383670799974,0.44050188422466663,48.70835847516671,0.08164418965560136,111.44062632425512,74.7764705882353,0.9014853543216871,0.0
77,0.0,0.2,261.80192051664665,301.020360442482,,,5,,0.0,107.09111600895892,367.9237591593548,18.467886116200297,0.4197254901960784,0.3891208245175318,0.4108791754824682,0.6184622283396224,39.801470753597215,0.07133939441028976,88.62322989275863,58.02745098039215,0.8865059277340308,0.0,159.45150011228824,961.3614993906224,48.00225116454361,0.2522745098039215,0.4227274621018086,0.5772725378981914,0.44107252105333394,48.722348786874576,0.08164109076322826,111.44924894774465,74.77254901960785,0.9014640637148169,0.0
78,0.0,0.2,261.80192051664665,301.020360442482,,,5,,0.0,107.09111600895892,367.9237591593548,18.467886116200297,0.4197254901960784,0.3891208245175318,0.4108791754824682,0.6184622283396224,39.801470753597215,0.07133939441028976,88.62322989275863,58.02745098039215,0.8865059277340308,0.0,159.45150011228824,961.3614993906224,48.00225116454361,0.2522745098039215,0.4227274621018086,0.5772725378981914,0.44107252105333394,48.722348786874576,0.08164109076322826,111.44924894774465,74.77254901960785,0.9014640637148169,0.0
