sigma,rho,Y,K,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Expected_Demand,Y_seed_min,Y_seed_max,n_seeds,frac_seeds_collapsed,collapsed,mixed_basin,Y_band_rel,binding,c0,eta,lambda_e
0.5,0.55,90.6469326569327,426.1583067165433,21.30823412145108,69.33869853548164,43.79607843137255,0.5620392156862746,0.43480980427780114,0.580201151367446,0.565190195722199,0.7116755942073991,0.9084199924865152,0.4356297413350587,0.43547793523560774,160.5873164919181,160.54453485229465,0.5366992064566478,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,97.9665252182746,83.67242521716967,93.67066868439562,20,0.0,False,False,0.1102987511454562,demand,1.0,0.0,0.25
0.5,0.6,92.85611963940428,471.9110878879327,23.591105800071443,69.26501383933285,43.89901960784314,0.5610098039215686,0.42548558608625325,0.580201151367446,0.5745144139137468,0.7100926850029903,0.9077153912067851,0.4442172444778037,0.4442172444778037,167.0420222057966,167.0420222057966,0.49661735611043395,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,100.5541462598799,88.43408264014504,99.70700161475044,20,0.0,False,False,0.12140200364157415,demand,1.0,0.0,0.25
0.5,0.65,95.58549481734173,518.7713500229208,26.02290839771012,69.56258641963161,44.44607843137255,0.5555392156862745,0.41847724260666136,0.580201151367446,0.5815227573933386,0.7053587616115752,0.9076038914137046,0.44731239393568734,0.44731239393568734,172.92845767588625,172.92845767588625,0.46510232346071634,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,103.70226864685978,92.9230302938548,100.50469429420319,20,0.0,False,False,0.07931814356180833,demand,1.0,0.0,0.25
0.6,0.35,92.46550120382116,279.43899981507815,13.89271599434729,78.57278520947389,53.306862745098044,0.46693137254901956,0.5186984802934582,0.596546932993319,0.48130151970654184,0.6389041261876879,0.9080754801509496,0.3176522321933537,0.21057523775983325,135.49776254813884,117.1513808524899,0.7890541916362587,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,97.92177929142456,88.33313155279461,95.79527793987204,20,0.0,False,False,0.0807019514297409,demand,1.0,0.0,0.25
0.6,0.4,88.37364308550869,304.2006587329141,15.179735571112872,73.19390751439582,47.772549019607844,0.5222745098039215,0.4864226493474241,0.596546932993319,0.5135773506525759,0.681844570448372,0.9086106127452934,0.3716034865416778,0.30674322747298916,140.6239455228345,127.51767152705943,0.6930727685509523,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,94.5529322864821,85.34442400962347,90.63010245031928,20,0.0,False,False,0.059810575372359544,demand,1.0,0.0,0.25
0.6,0.45,88.20670534299607,340.22262280796497,17.066626598477924,71.14007874451815,45.372549019607845,0.5462745098039216,0.4628581531287642,0.596546932993319,0.5371418468712358,0.7007396186187151,0.9086131386082636,0.40169132777579053,0.38114625265181074,147.4134575535693,142.58549062481427,0.6189447877714637,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,94.50254319748623,84.58416079967012,91.81002014231939,20,0.0,False,False,0.08191961500603799,demand,1.0,0.0,0.25
0.6,0.5,87.94160493138018,373.40338315580397,18.744973954499955,69.19663097688024,43.53921568627451,0.564607843137255,0.4455128818265367,0.596546932993319,0.5544871181734634,0.713893262533764,0.9085166281685787,0.4255377668273468,0.4244465056377892,153.06504347846493,152.78340897938784,0.5622924787429895,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,94.86576437838961,84.68185239261078,92.29462017947374,20,0.0,False,False,0.08656616845693361,demand,1.0,0.0,0.25
0.6,0.55,89.202661584382,414.8801826448792,20.789992567549703,68.4126690168323,42.71078431372549,0.5728921568627452,0.43090282536731256,0.596546932993319,0.5690971746326874,0.7200869239518732,0.9086601483960488,0.4407001132104673,0.4407001132104673,159.46080109631367,159.46080109631367,0.5133847187957308,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,96.37519052972519,84.49049840764644,95.0428439715146,20,0.0,False,False,0.11829630838857963,demand,1.0,0.0,0.25
0.6,0.6,91.37307129394298,463.29632389727095,23.124696512036955,68.24837478190602,42.496078431372545,0.5750392156862746,0.41855757915033553,0.596546932993319,0.5814424208496645,0.721587229454922,0.9081908825080127,0.45017898787597294,0.45017898787597294,166.16190911384604,166.16190911384604,0.47060194138041495,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,98.76560560343547,86.2800311104275,95.3687494203825,20,0.0,False,False,0.09946823698983487,demand,1.0,0.0,0.25
0.6,0.65,93.56412522217924,507.9776251326266,25.451380464505228,68.11274475767402,42.58921568627451,0.5741078431372549,0.4096526594207225,0.596546932993319,0.5903473405792776,0.7202816423757445,0.9081496177799352,0.455168345109369,0.455168345109369,171.70810748460676,171.70810748460676,0.43978169569915126,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,101.43021037944001,88.92972974980832,98.08633974699687,20,0.0,False,False,0.09786453916439751,demand,1.0,0.0,0.25
